desc,shortDesc,condition
"""Front Bezel kit S50 **Refurbished** Other Option Products""","PowerEdge R450 Server, Intel Xeon Silver 4309Y 2.8G, 8C, 4x3.5"", 16GB RDIMM, 3200MT, 1.2TB HD SAS ISE 12Gbps 10k, iDRAC9 Enterprise 15G, Single HotPlug, 600W, PERC H755 SAS Front Broadcom 57412 Dual Port 10GbE SFP+,ReadyRails, 3yrs NBD",Refurbished
"""Thinkcentre Ata 100 2 Drop **Refurbished** Other Option Products""","PowerEdge R650XS/Chassis 10 x 2.5"", 2 x Intel Xeon Silver 4310 2.1G, 12C/24T, 10.4GT/s, 18M Cache, Turbo, HT (120W) DDR42666/ 32GB ( 2 x 16GB) 3200MT/s, Dual Rank / 1x2.4TB 10K RPM SAS ISE 12Gbps 512e 2.5in Hotplug Hard Drive /Rails/Bezel/ Broadcom 5720 Dual Port 1Gb OnBoard LOM/PERC H355 Controller Front/iDRAC9, Enterprise 15G/ Dual, Hotplug, PSU (1+1), 800, Mixed Mode/ Broadcom 5720 Quad Port 1GbE BASET Adapter, OCP NIC 3.0/ Trusted Platform Module 2.0/ Riser Config 3, 1xOCP 3.0(x16)+ 2x16LP / 3Yr NBD ProSupport Warranty¶",Refurbished
"""ATA 100 2 DROP IDE CABLE **Refurbished** Bags/cables""","16GB Dual Rank DDR4 PC4UDIMM 3200 ECC for  R250,R350,T150,T350",Refurbished
"""SAta Hdu Cable **Refurbished** Bags/cables""",14TB 7.2K RPM NLSAS 12Gbps 512e 3.5in Hotplug Hard Drive CK G14,Refurbished
"""Thinkcentre 8319 Speaker **Refurbished** Other Option Products""","Intel Xeon Gold 5218R Processor 27.5M Cache, 2.10 GHz, 20C",Refurbished
"""Thinkcentre 60 X 20Mm Fan **Refurbished** Other Option Products""","(P23465B21) HPE Proliant DL380 Gen10 / 8SFF Hot Plug / 2U Rack / 1x Intel Xeon Scalable 4208 (2.1GHz/8core/85W)/ 32GB (1 x 32GB) RDIMM Dual Rank 2933MT/s / Optional locking Bezel Kit, Intrusion Detection Kit, and HPE TPM 2.0/ /NO HDD / HPE Smart Array S100i and 1 HPE Smart Array P408ia/2 GB plus Smart Storage Battery / NO DVD/ 331i 4x 1GbE, optional FlexibleLOM  / 1x HPE 500W Flex Slot Platinum Power Supply / 2U Easy Install Rail Kit / 333/ 15Kg/ 46 x 75 x 9 cm",Refurbished
"""8320 Floppy Drive Cable **Refurbished** Bags/cables""",( 872475B21 ) HPE 300GB 12G SAS 10K Rpm SFF 2.5in SC Hard Disk,Refurbished
"""Heatsink For Northwoods Cpu **Refurbished** Other Option Products""",(  P46171A21) Microsoft Windows Server 2022 (16Core) Standard ROK EU Software,Refurbished
"""Riser Card Asmbly 8320 **Refurbished** Other Option Products""","Start your day with toast made your way. This Oster 4Slice LongSlot Toaster is equipped to toast breads, bagels and more to your taste. Advanced toasting technology and settings from light to dark provide consistent results every time. You can enjoy the perfect texture and shade of toast, bagel, waffle or English muffin. 2 extralong slots accommodate 4 standard bread slices or 2 larger, artisanstyle breads or other food items. With the Oster brand, you can cook with passion and serve with pleasure.",Refurbished
"""TC TOOLLESS HDD TRAY **Refurbished** Other Option Products""","The Ultra 500FT CAT6 550MHz Unshielded Twisted Pair UTP Network Patch Cable allows you to connect with ease. Whether being used for servers, routers, gaming consoles or cable modems, the Ultra 500FT CAT6 550MHz Unshielded Twisted Pair UTP Network Patch Cable is made of the highest quality materials to provide you with the most reliable highspeed connection available.",Refurbished
"""8319 FAN DUCT **Refurbished** Electrical Parts""",Milestone Systems Husky M550A Network Video Recorder  8 TB HDD  Network Video Recorder,Refurbished
"""845G Sysbd W10/100 Ethernet **Refurbished** Motherboards""","'SR650 Xeon Silver 4210 (10C 2.2GHz 13.75MB Cache/85W) 16GB (1x16GB, 2Rx8 RDIMM), No Backplane, No RAID, 1x750W, XCC Enterprise, Tooless Rails",Refurbished
"""4614 SYSTEM BOARD **Refurbished** Motherboards""",TShirt Thank You Bag  12 x 7 x 13  14 Microns  White  500/Carton,Refurbished
"""PCI RISER CD ASSM 4614A05 **Refurbished** Other Option Products""",Bun Rack and Pan Cover  52 x 80  1Rack  15 Micron  Clear  50 Sheets,Refurbished
"""4614 HEATSINK **Refurbished** Electrical Parts""",Produce Bag  10 x 15  9 Microns  Natural  1400/Roll  4 Rolls/Carton,Refurbished
"""4614 FDD CABLE **Refurbished** Bags/cables""",Produce Bag  12 x 20  9 Microns  Natural  875/Roll  4 Rolls/Carton,Refurbished
"""Surepos 300 System Board **Refurbished** Motherboards""",Thank You Handled TShirt Bags  11 1/2 x 21  Polyethylene  White  900/Carton,Refurbished
"""Surepos 300 System Board **Refurbished** Motherboards""","Get fast, accurate results with the Mabis Select Accurate LCD Digital Thermometer. This thermometer reads in both Fahrenheit and Celsius and delivers results in just 60 seconds. It features an easytoread LCD display that shows results up to 4 digits in 1/10 of a degree increments. It can be used orally, rectally, or underneath the arm and includes a protective cap for easy storage and portability when not in use. Results are accurate within 0.2degrees F or 0.1degrees C so you can trust every result.",Refurbished
"""SUREPOS 300/700 512MB DIMM **Refurbished** Memory""",Tragedy strikes during a brisk morning jog.  Key forensic evidence and an abundance of uncertainty become the key to exposing years of corruption,Refurbished
"""Panel Mounted 15Pin Connector **Refurbished** Other Option Products""",Become Sherlock Holmes as you embark on a thrilling adventure filled with suspense and intrigue.  The master thief,Refurbished
"""Surepos Riser Card **Refurbished** Other Option Products""",The Compucessory AC Mobile Power Inverter (25660) converts 12V battery power to standard AC plugin power. Power your laptops,Refurbished
"""Surepos 300 Adapter Card **Refurbished** Adapter""",Pet Vet 3D Wild Animal Hospital lets lets you take on the role of a veterinarian doctor heading up an animal hospital in an African national park. Play with and diagnose any illnesses of the cute and exotic animals you encounter,Refurbished
"""Surepos 300 System Board **Refurbished** Motherboards""",Tumble Into the World of Dr. Seuss in this Interactive Storybook! With a click of the mouse,Refurbished
